date,value
2015-12-28,26.50
2015-12-29,26.50
2015-12-30,26.50
2015-12-31,26.39
2016-01-01,26.28
2016-01-02,26.28
2016-01-03,26.21
2016-01-04,26.15
2016-01-05,26.08
2016-01-06,26.01
2016-01-07,25.94
2016-01-08,25.87
2016-01-09,25.91
2016-01-10,25.95
2016-01-11,25.94
2016-01-12,25.92
2016-01-13,25.90
2016-01-14,25.77
2016-01-15,25.73
2016-01-16,25.68
2016-01-17,25.55
2016-01-18,25.50
2016-01-19,25.46
2016-01-20,25.43
2016-01-21,25.51
2016-01-22,25.51
2016-01-23,25.46
2016-01-24,25.17
2016-01-25,25.17
2016-01-26,24.90
2016-01-27,24.77
2016-01-28,24.77
2016-01-29,24.82
2016-01-30,24.78
2016-01-31,25.10
2016-02-01,25.10
2016-02-02,25.37
2016-02-03,25.47
2016-02-04,25.45
2016-02-05,25.36
2016-02-06,25.38
2016-02-07,25.36
2016-02-08,25.32
2016-02-09,25.30
2016-02-10,25.28
2016-02-11,25.27
2016-02-12,25.20
2016-02-13,25.29
2016-02-14,24.95
2016-02-15,24.80
2016-02-16,24.80
2016-02-17,24.80
2016-02-18,24.80
2016-02-19,24.77
2016-02-20,24.72
2016-02-21,24.72
2016-02-22,24.79
2016-02-23,24.54
2016-02-24,24.42
2016-02-25,24.42
2016-02-26,24.51
2016-02-27,24.48
2016-02-28,24.79
2016-02-29,24.86
2016-03-01,25.00
2016-03-02,25.12
2016-03-03,24.99
2016-03-04,24.97
2016-03-05,24.89
2016-03-06,24.85
2016-03-07,24.80
2016-03-08,24.88
2016-03-09,24.87
2016-03-10,24.72
2016-03-11,24.59
2016-03-12,24.57
2016-03-13,24.46
2016-03-14,24.38
2016-03-15,24.36
2016-03-16,24.33
2016-03-17,24.56
2016-03-18,24.56
2016-03-19,24.53
2016-03-20,24.53
2016-03-21,24.53
2016-03-22,24.49
2016-03-23,24.49
2016-03-24,24.15
2016-03-25,24.26
2016-03-26,24.27
2016-03-27,24.27
2016-03-28,24.39
2016-03-29,24.44
2016-03-30,24.48
2016-03-31,24.86
2016-04-01,24.81
2016-04-02,24.97
2016-04-03,25.20
2016-04-04,25.14
2016-04-05,25.18
2016-04-06,25.21
2016-04-07,25.22
